division	Tipperary	#4F1FAB
division	Ireland	#4E20AC
division	Offaly	#4D22AD
division	Laois	#4D23AE
division	Westmeath	#4C24AF
division	Cavan	#4B25B0
division	Waterford	#4B26B1
division	Leinster	#4A27B2
division	Monaghan	#4A28B3
division	Kildare	#4929B5
division	Wexford	#482BB6
division	Meath	#482CB7
division	Louth	#472DB8
division	Dublin	#462EB9
division	Wicklow	#462FBA
division	Canary Islands	#4530BB
division	Galicia	#4531BC
division	Extremadura	#4432BD
division	Asturias	#4334BE
division	Andalusia	#4335BF
division	Castilla y Leon	#4236C2
division	Cantabria	#4137C2
division	Madrid	#4138C3
division	Castilla la Mancha	#4039C4
division	La Rioja	#403AC4
division	Basque Country	#403CC5
division	Navarra	#403DC5
division	Murcia	#403FC6
division	Aragon	#4040C6
division	Comunitat Valenciana	#4042C7
division	Catalunya	#3F43C7
division	Balear Islands	#3F44C8
division	Gibraltar	#3F46C8
division	Scotland	#3F47C9
division	Wales	#3F49C9
division	England	#3F4ACA
division	Andorra	#3F4BCA
division	French Guiana	#3F4DCB
division	Bretagne	#3F4ECB
division	Pays de la Loire	#3F50CC
division	Normandie	#3F51CC
division	Nouvelle-Aquitaine	#3F53CD
division	Centre-Val de Loire	#3F54CD
division	France	#3F55CE
division	Ile de France	#3F57CE
division	Hauts de France	#3E58CF
division	Occitanie	#3E5ACF
division	Auvergne-Rhône-Alpes	#3E5BD0
division	Grand Est	#3E5CD0
division	Provence-Alpes-Côte d'Azur	#3F5ED0
division	Mayotte	#3F5FD0
division	Diksmuide	#3F60D0
division	Oostende	#3F62D0
division	Tielt	#3F63CF
division	Gent	#4064CF
division	Ath	#4066CF
division	Mons	#4067CF
division	Hainaut	#4068CF
division	Aalst	#416ACF
division	La Louvière	#416BCF
division	Thuin	#416CCE
division	Brussels	#416DCE
division	Antwerpen	#426FCE
division	Halle-Vilvoorde	#4270CE
division	Mechelen	#4271CE
division	Belgium	#4273CE
division	Leuven	#4274CE
division	Namur	#4375CD
division	Dinant	#4377CD
division	Turnhout	#4378CD
division	Huy	#4379CD
division	Hasselt	#447ACD
division	Luxembourg BE	#447CCD
division	Liège	#447DCC
division	Zeeland	#457ECB
division	South Holland	#457FCB
division	North Holland	#4580CA
division	Utrecht	#4681CA
division	North Brabant	#4682C9
division	Netherlands	#4783C8
division	Flevoland	#4784C8
division	Friesland	#4785C7
division	Limburg	#4886C6
division	Gelderland	#4887C6
division	Overijssel	#4988C5
division	Groningen	#4989C4
division	Drenthe	#4A8AC4
division	Luxembourg	#4A8BC3
division	Geneva	#4A8CC2
division	Vaud	#4B8DC2
division	Neuchâtel	#4B8EC1
division	Fribourg	#4C8FC0
division	Solothurn	#4C90C0
division	Valais	#4C92BF
division	Bern	#4D93BE
division	Basel-Stadt	#4D94BE
division	Basel-Land	#4E95BD
division	Aargau	#4E96BC
division	Switzerland	#4F96BB
division	Uri	#4F97BA
division	Schaffhausen	#5098B9
division	Zürich	#5098B8
division	Schwyz	#5199B7
division	Ticino	#529AB6
division	Thurgau	#529BB5
division	Sankt Gallen	#539BB4
division	Graubünden	#539CB4
division	Rogaland	#549DB3
division	Vestland	#549EB2
division	Vestlandet	#559EB1
division	More Og Romsdal	#569FB0
division	Agder	#56A0AF
division	Vestfold Og Telemark	#57A1AE
division	Viken	#57A1AD
division	Trondelag	#58A2AC
division	Innlandet	#58A3AB
division	Oslo	#59A3AA
division	Norway	#5AA4A9
division	Nordland	#5AA5A8
division	Troms Og Finnmark	#5BA6A7
division	Syddanmark	#5BA6A6
division	Midtjylland	#5CA7A5
division	Denmark	#5DA8A4
division	Nordjylland	#5DA8A3
division	Sjaelland	#5EA9A2
division	Hovedstaden	#5FA9A0
division	Copenhagen	#5FAA9F
division	Liechtenstein	#60AA9E
division	Saarland	#BD8D35
division	Rheinland-Pfalz	#E8A46D
division	North Rhine-Westphalia	#DBA32A
division	Baden-Wuerttemberg	#BAE378
division	Baden-Wurttemberg	#BAE378
division	Hesse	#32736E
division	Schleswig-Holstein	#FA9A0A
division	Hamburg	#CCA42B
division	Germany	#66AE95
division	Thuringia	#8BBDE0
division	Bavaria	#54B9EB
division	Saxony-Anhalt	#284A3C
division	Brandenburg	#747527
division	Berlin	#A8A83B
division	Saxony	#6AB18F
division	Lower Saxony	#6B4C15
division	Rhineland-Palatinate	#C460BA
division	Mecklenburg-Western Pomerania	#C989C3
division	Bremen	#DED981
division	Liguria	#6BB18E
division	Sardinia	#6CB28D
division	Lombardy	#6CB28C
division	Tuscany	#6DB38A
division	Trentino-Alto Adige	#6EB389
division	Veneto	#6FB388
division	Umbria	#70B487
division	Lazio	#71B486
division	Friuli Venezia Giulia	#71B485
division	Abruzzo	#72B584
division	Molise	#73B583
division	Campania	#74B582
division	Basilicata	#75B581
division	Apulia	#76B680
division	Malta	#77B67F
division	Slovenia	#77B67E
division	Novo Mesto	#78B77D
division	Murska Sobota	#79B77C
division	Skane	#7AB77B
division	Blekinge	#7BB77A
division	Kalmar	#7CB879
division	Kronoberg	#7DB878
division	Halland	#7EB877
division	Gotland	#7EB976
division	Småland	#7FB975
division	Jonkoping	#80B974
division	Vastra Gotaland	#81BA73
division	Ostergotland	#82BA72
division	Sormland	#83BA71
division	Orebro	#84BA70
division	Stockholm	#85BA6F
division	Vastmanland	#86BB6E
division	Sweden	#87BB6D
division	Uppsala	#88BB6C
division	Varmland	#89BB6B
division	Gavleborgs Lan	#8ABB6A
division	Jamtland	#8BBB6A
division	Vasternorrland	#8CBB69
division	Vasterbotten	#8DBC68
division	Norrbotten	#8EBC67
division	Vorarlberg	#8FBC66
division	Tyrol	#90BC65
division	Carinthia	#91BC65
division	Upper Austria	#92BC64
division	Styria	#93BC63
division	Austria	#93BD62
division	Lower Austria	#94BD61
division	Vienna	#95BD60
division	Burgenland	#96BD5F
division	Istria	#97BD5F
division	Zagreb	#98BD5E
division	Varazdin	#99BD5D
division	Plzeň Region	#9ABE5C
division	Usti nad Labem	#9BBE5B
division	Prague	#9CBE5B
division	Southern Bohemia Region	#9DBE5A
division	Central Bohemian Region	#9EBE59
division	Liberec Region	#9FBE59
division	Czech Republic	#DB2823
division	Pardubice Region	#A1BE57
division	Hradec Králové Region	#A2BE57
division	South Moravian Region	#A3BE56
division	Olomouc Region	#A4BE56
division	Moravian-Silesian Region	#A6BE55
division	Bihac	#A7BE54
division	Cazin	#A8BE54
division	Livno	#A9BD53
division	Čelinac	#AABD53
division	Vitez	#ABBD52
division	Mostar	#ACBD51
division	Zenica	#ADBD51
division	Maglaj	#AEBD50
division	Ilijas	#AFBD4F
division	Vogosca	#B0BD4F
division	Sarajevo	#B1BD4E
division	Lubuskie	#B2BD4E
division	Zachodniopomorskie	#B3BD4D
division	Dolnośląskie	#B4BD4C
division	Wielkopolskie	#B5BD4C
division	Opolskie	#B6BD4C
division	Pomorskie	#B7BD4B
division	Slask	#B7BC4B
division	Poland	#4236C1
division	Slaskie	#B9BC4A
division	Malopolskie	#BABC4A
division	Swietokrzyskie	#BBBC49
division	Warminsko-Mazurskie	#BCBB49
division	Mazowieckie	#BDBB48
division	Masovia	#BEBB48
division	Kostoliste	#BFBB48
division	Bratislava	#C0BA47
division	Pezinok	#C1BA47
division	Jatov	#C2BA46
division	Trenčín	#C3BA46
division	Nitra	#C4BA46
division	Nove Zamky	#C5B945
division	Topolcany	#C5B945
division	Surany	#C6B944
division	Banovce nad Bebravou	#C7B944
division	Partizanske	#C8B844
division	Levice	#C9B843
division	Zilina	#CAB843
division	Martin	#CBB842
division	Oravska Lesna	#CCB742
division	Dolny Kubin	#CCB742
division	Ruzomberok	#CDB642
division	Tvrdosin	#CEB641
division	Rimavska Sobota	#CFB541
division	Revuca	#CFB541
division	Doľany	#D0B441
division	Kosice	#D1B340
division	Pavlovce nad Uhom	#D1B340
division	Bela nad Cirochou	#D2B240
division	Montenegro	#D3B240
division	Albania	#D4B13F
division	Veszprém County	#D4B13F
division	Baranya County	#D5B03F
division	Central Hungary	#D6B03F
division	Pest County	#D6AF3E
division	Bács-Kiskun County	#D7AF3E
division	Csongrád County	#D8AE3E
division	Heves County	#D9AE3E
division	Borsod-Abaúj-Zemplén County	#D9AD3D
division	Békés County	#DAAD3D
division	Hajdú-Bihar County	#DBAC3D
division	Szabolcs-Szatmár-Bereg County	#DBAC3D
division	Leskovac	#DCAB3C
division	Raška District	#DDAA3C
division	Nis	#DDA93C
division	Serbia	#DDA83C
division	Šumadija District	#DEA73B
division	Sabac	#DEA63B
division	Belgrade	#DFA63B
division	South Banat District	#DFA53B
division	South Bačka District	#DFA43B
division	North Banat District	#E0A33A
division	North Bačka District	#E0A23A
division	Ferizaj	#E0A13A
division	Kosovo	#E1A03A
division	Pristina	#E19F3A
division	Kosovska Mitrovica	#E29E39
division	Southwestern Region	#E29D39
division	Tetovo	#E29C39
division	Skopje	#E39B39
division	Pelagonia	#E39B39
division	North Macedonia	#E49A38
division	Vardar	#E49938
division	Northeastern Region	#E49838
division	Kavadarci	#E59738
division	Eastern Region	#E59638
division	Southeastern Region	#E69537
division	Thessaloniki	#E69437
division	Athens	#E69337
division	Telsiai	#E69137
division	Taurages Apskritis	#E69036
division	Marijampoles Apskritis	#E68F36
division	Kauno Apskritis	#E68D36
division	Vilniaus Apskritis	#E68C36
division	Vilnius	#E68B35
division	Utena	#E68935
division	Hunedoara	#E68835
division	Mures	#E68735
division	Romania	#E68534
division	Valcea	#E68434
division	Giurgiu	#E68234
division	Covasna	#E68134
division	Ploiesti	#E68033
division	Bucharest	#E67E33
division	Ilfov	#E67D33
division	Suceava	#E67C32
division	Calarasi	#E67A32
division	Vidin	#E67932
division	Dupnitza	#E67832
division	Sofia	#E67631
division	Pazardzhik	#E67531
